order_date,number_of_orders,status_of_order,monetary_value,service_name
2016-01-01,180,Cancelled,76076000,Uber_BOX
2016-01-01,10,Cancelled,1960140,Uber_CLEAN
2016-01-01,28380,Cancelled,489898500,Uber_FOOD
2016-01-01,0,Cancelled,728000,Uber_GLAM
2016-01-01,10,Cancelled,136500,Uber_KILAT
2016-01-01,1710,Cancelled,23933000,Uber_MART
2016-01-01,80,Cancelled,14714700,Uber_MASSAGE
2016-01-01,33230,Cancelled,855767640,Uber_RIDE
2016-01-01,1760,Cancelled,66238900,Uber_SEND
2016-01-01,9280,Cancelled,236874820,Uber_SHOP
2016-01-01,160,Cancelled,,Uber_TIX
2016-01-01,470,Completed,193458265,Uber_BOX
2016-01-01,110,Completed,17510220,Uber_CLEAN
2016-01-01,66390,Completed,1114831900,Uber_FOOD
2016-01-01,60,Completed,8581300,Uber_GLAM
2016-01-01,0,Completed,81900,Uber_KILAT
2016-01-01,2920,Completed,40840800,Uber_MART
2016-01-01,500,Completed,94518970,Uber_MASSAGE
2016-01-01,144110,Completed,3262077000,Uber_RIDE
2016-01-01,8720,Completed,317522660,Uber_SEND
2016-01-01,12440,Completed,289534700,Uber_SHOP
2016-01-01,20,Completed,,Uber_TIX
2016-01-01,0,Failed/Timeout,,Uber_TIX
2016-01-01,60,No Driver Found,28938142,Uber_BOX
2016-01-01,0,No Driver Found,555100,Uber_CLEAN
2016-01-01,1690,No Driver Found,35435400,Uber_FOOD
2016-01-01,20,No Driver Found,3931200,Uber_GLAM
2016-01-01,0,No Driver Found,54600,Uber_MART
2016-01-01,70,No Driver Found,11962860,Uber_MASSAGE
2016-01-01,2970,No Driver Found,80647840,Uber_RIDE
2016-01-01,100,No Driver Found,3663660,Uber_SEND
2016-01-01,120,No Driver Found,2617160,Uber_SHOP
2016-01-01,0,Other,54600,Uber_FOOD
2016-01-01,10,Other,167440,Uber_RIDE
2016-01-01,0,Other,69160,Uber_SHOP
2016-01-02,210,Cancelled,92423695,Uber_BOX
2016-01-02,10,Cancelled,1492400,Uber_CLEAN
2016-01-02,33440,Cancelled,582127000,Uber_FOOD
2016-01-02,0,Cancelled,500500,Uber_GLAM
2016-01-02,2070,Cancelled,29010800,Uber_MART
2016-01-02,60,Cancelled,9897160,Uber_MASSAGE
2016-01-02,31620,Cancelled,795560220,Uber_RIDE
2016-01-02,2670,Cancelled,103044760,Uber_SEND
2016-01-02,10620,Cancelled,277076800,Uber_SHOP
2016-01-02,130,Cancelled,,Uber_TIX
2016-01-02,610,Completed,241902115,Uber_BOX
2016-01-02,170,Completed,30080960,Uber_CLEAN
2016-01-02,75900,Completed,1281543900,Uber_FOOD
2016-01-02,60,Completed,9837100,Uber_GLAM
2016-01-02,0,Completed,27300,Uber_KILAT
2016-01-02,2930,Completed,41059200,Uber_MART
2016-01-02,520,Completed,96183360,Uber_MASSAGE
2016-01-02,156830,Completed,3468002720,Uber_RIDE
2016-01-02,13570,Completed,499360680,Uber_SEND
2016-01-02,14900,Completed,355577040,Uber_SHOP
2016-01-02,20,Completed,,Uber_TIX
2016-01-02,10,Failed/Timeout,,Uber_TIX
2016-01-02,30,No Driver Found,18124470,Uber_BOX
2016-01-02,0,No Driver Found,564200,Uber_CLEAN
2016-01-02,1370,No Driver Found,28774200,Uber_FOOD
2016-01-02,10,No Driver Found,1956500,Uber_GLAM
2016-01-02,40,No Driver Found,7398300,Uber_MASSAGE
2016-01-02,1050,No Driver Found,29190980,Uber_RIDE
2016-01-02,70,No Driver Found,3245060,Uber_SEND
2016-01-02,80,No Driver Found,1889160,Uber_SHOP
2016-01-02,10,Other,154700,Uber_FOOD
2016-01-02,10,Other,200200,Uber_RIDE
2016-01-02,0,Other,54600,Uber_SEND
2016-01-03,230,Cancelled,104029380,Uber_BOX
2016-01-03,30,Cancelled,4786600,Uber_CLEAN
2016-01-03,34300,Cancelled,595813400,Uber_FOOD
2016-01-03,10,Cancelled,1001000,Uber_GLAM
2016-01-03,2460,Cancelled,34489000,Uber_MART
2016-01-03,70,Cancelled,13058500,Uber_MASSAGE
2016-01-03,31490,Cancelled,802530820,Uber_RIDE
2016-01-03,2500,Cancelled,97672120,Uber_SEND
